dwc:catalogNumber,dwc:genus,species,Day,Month,Year,Day of the year
676014,nymphaea,nymphaea amazonum,21,12,1985,355
23683,nymphaea,nymphaea amazonum,19,9,1998,262
no disponible,nymphaea,nymphaea amazonum,19,9,1998,262
151152,nymphaea,nymphaea amazonum,26,10,1985,299
,nymphaea,nymphaea amazonum,26,10,1985,299
859402,nymphaea,nymphaea amazonum,26,10,1985,299
,nymphaea,nymphaea amazonum,31,10,1865,304
,nymphaea,nymphaea amazonum,28,8,1872,241
u.1446070,nymphaea,nymphaea amazonum,26,7,1997,207
,nymphaea,nymphaea amazonum,21,4,1980,112
1511655,nymphaea,nymphaea amazonum,17,8,1923,229
441456,nymphaea,nymphaea amazonum,17,4,1952,108
859401,nymphaea,nymphaea amazonum,26,10,1985,299
1511650,nymphaea,nymphaea amazonum,29,10,1895,302
1511648,nymphaea,nymphaea amazonum,29,1,1985,29
993161,nymphaea,nymphaea amazonum,23,6,1913,174
993163,nymphaea,nymphaea amazonum,24,1,1923,24
993162,nymphaea,nymphaea amazonum,20,2,1929,51
1511654,nymphaea,nymphaea amazonum,27,12,1917,361
589245,nymphaea,nymphaea amazonum,17,9,1993,260
159212,nymphaea,nymphaea amazonum,29,6,1988,181
214239,nymphaea,nymphaea amazonum,27,6,2003,178
u.1446114,nymphaea,nymphaea amazonum,17,8,1961,229
asu0045606,nymphaea,nymphaea amazonum,24,2,1999,55
441458,nymphaea,nymphaea amazonum,27,8,1981,239
1004943,nymphaea,nymphaea amazonum,16,9,1998,259
441460,nymphaea,nymphaea amazonum,27,12,1917,361
asu0045607,nymphaea,nymphaea amazonum,19,1,2000,19
u.1446072,nymphaea,nymphaea amazonum,16,10,1974,289
993160,nymphaea,nymphaea amazonum,24,3,1922,83
u.1446071,nymphaea,nymphaea amazonum,16,10,1974,289
l.4149672,nymphaea,nymphaea amazonum,16,2,1957,47
39231,nymphaea,nymphaea amazonum,30,4,1838,120
1021439,nymphaea,nymphaea amazonum,13,6,1979,164
u.1446115,nymphaea,nymphaea amazonum,17,8,1961,229
u.1446113,nymphaea,nymphaea amazonum,24,8,1961,236
637562,nymphaea,nymphaea amazonum,18,10,1994,291
676011,nymphaea,nymphaea amazonum,25,12,1985,359
barcode/00351444,nymphaea,nymphaea amazonum,26,9,1935,269
rb00894219,nymphaea,nymphaea amazonum,24,1,2012,24
