gbif:canonicalName,dwc:genus,species,dwc:specificEpithet,Day,Month,Year,Day of the year
abrus precatorius,abrus,abrus precatorius l.,precatorius,17,5,1999,137
abrus precatorius,abrus,abrus precatorius l.,precatorius,17,5,1999,137
abutilon indicum,abutilon,abutilon indicum,indicum,15,8,1992,228
abutilon theophrasti,abutilon,abutilon avicennae,theophrasti,20,8,1992,233
acacia smithiana,acacia,acacia smithiana roxb.,smithiana,,,,
acalypha,acalypha,acalypha indica,indica,12,7,1992,214
acalypha,acalypha,acalypha indica,indica,1,8,1992,168
acalypha,acalypha,acalypha indica l.,indica,16,6,2000,194
acampe cephalotes,acampe,acampe cephalotes lindl.,cephalotes,19,11,1847,323
acampe ochracea,acampe,acampe ochraceum,ochracea,16,12,1944,351
acampe praemorsa,acampe,acampe papillosa,praemorsa,16,12,1944,351
acanthaceae,,acanthaceae,,8,6,2000,160
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,29,9,1850,272
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,8,11,1850,
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,312
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,
acanthopanax trifoliatum,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,
acanthus ilicifolius,acanthus,acanthus ilicifolius l.,ilicifolius,1,6,2000,153
acanthus leucostachyus,acanthus,acanthus leucostachyus wall.,leucostachyus,,,,
acanthus leucostachyus,acanthus,acanthus leucostachyus wall.,leucostachyus,,,,
acer oblongum,acer,acer oblongum wall.,oblongum,,,,
achyranthes aspera,achyranthes,achyranthes aspera,aspera,10,7,1992,192
achyranthes aspera,achyranthes,achyranthes aspera,aspera,12,4,1868,103
achyranthes aspera,achyranthes,achyranthes aspera,aspera,23,10,1868,297
achyrospermum wallichianum,achyrospermum,achyrospermum wallichianum (benth.) benth. ex hook.f.,wallichianum,,,,
acranthera tomentosa,acranthera,acranthera tomentosa r.br. ex hook.f.,tomentosa,,,,
acronychia,acronychia,acronychia  j.r.forst.,,10,10,1979,283
acronychia,acronychia,acronychia  j.r.forst.,,19,11,1979,323
acronychia pedunculata,acronychia,acronychia pedunculata,pedunculata,6,8,1992,219
acronychia pedunculata,acronychia,acronychia pedunculata (l.) miq.,pedunculata,,,,
acrostichum aureum,acrostichum,acrostichum aureum l.,aureum,1,6,2000,153
acrostichum aureum,acrostichum,acrostichum aureum l.,aureum,1,6,2000,
acrostichum aureum,acrostichum,acrostichum aureum l.,aureum,,,,153
actinoscirpus grossus,actinoscirpus,actinoscirpus grossus var. kysoor,grossus,29,12,1875,363
actinostemma tenerum,actinostemma,actinostemma tenerum griff.,tenerum,,,,
actinostemma tenerum,actinostemma,actinostemma tenerum griff.,tenerum,,,,
actinostemma tenerum,actinostemma,actinostemma tenerum griffith,tenerum,,,,
adenia cardiophylla,adenia,adenia cardiophylla engl.,cardiophylla,,,,
adenostemma elatum,adenostemma,adenostemma elatum dc.,elatum,,,,
adiantum caudatum,adiantum,adiantum caudatum,caudatum,,,,
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,1,1901,202
adiantum philippense,adiantum,adiantum philippense,philippense,9,7,1901,341
adiantum philippense,adiantum,adiantum l.,philippense,15,7,1901,221
adiantum philippense,adiantum,adiantum philippense,philippense,8,8,1901,40
adiantum philippense,adiantum,adiantum philippense,philippense,28,11,1901,255
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,4,1902,360
adiantum philippense,adiantum,adiantum philippense,philippense,23,5,1902,
adiantum philippense,adiantum,adiantum philippense,philippense,8,8,1902,99
adiantum philippense,adiantum,adiantum philippense l.,philippense,1,9,1902,288
adiantum philippense,adiantum,adiantum philippense l.,philippense,20,10,1902,171
