dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
a330cc7c-f276-2764-5aab-85d18a315a9f,cichorium,cichorium intybus,24,8,1980,237
http://n2t.net/ark:/65665/30060fcae-33e9-4f54-b5ac-6fa2d53654f2,bridelia,bridelia ovata,13,1,1964,13
urn:catalog:mo:tropicos:2248450,cichorium,cichorium intybus,13,1,1973,13
http://n2t.net/ark:/65665/3ddf185a4-c8c5-481e-accc-d6980ca637c3,utricularia,utricularia stellaris,13,1,1977,13
urn:catalog:mo:tropicos:165102,limnocharis,limnocharis flava,13,1,1990,13
http://n2t.net/ark:/65665/33807d7bf-9a89-4f1a-9492-96db79dade12,sagittaria,sagittaria trifolia,14,1,1919,14
http://n2t.net/ark:/65665/33515b8bc-b730-4b9c-ada6-4def69cc0f47,cichorium,cichorium intybus,14,1,1940,14
http://n2t.net/ark:/65665/3344b69ff-6260-45f4-8766-bef4d5431fa3,cibotium,cibotium barometz,14,1,1958,14
http://n2t.net/ark:/65665/36a9eea10-ca45-46ad-8d28-54dc7696123e,diplazium,diplazium frondosum,14,1,1958,14
urn:catalog:mo:tropicos:101171930,persicaria,persicaria attenuata pulchra,14,1,1958,14
urn:catalog:o:v:2003703,artabotrys,artabotrys hexapetalus,14,1,1959,14
urn:catalog:o:v:2003686,mangifera,mangifera indica,14,1,1959,14
urn:catalog:o:v:2003785,tecoma,tecoma stans,14,1,1959,14
http://n2t.net/ark:/65665/39cfb1d95-93e5-4ff0-89fa-437e4bbc1631,neptunia,neptunia oleracea,14,1,1974,14
urn:catalog:mo:tropicos:2442029,cichorium,cichorium intybus,14,1,1989,14
bra:ufsm:smdb:8291,cichorium,cichorium intybus,14,1,2000,14
urn:catalog:mo:tropicos:100775169,limnocharis,limnocharis flava,14,1,2015,14
http://n2t.net/ark:/65665/30fdd3534-9f6d-4124-ab79-e1c8f85d16f3,sterculia,sterculia versicolor,15,1,1929,15
38ac869f-6101-4c22-9532-472fe78ab82d,bulbophyllum,bulbophyllum reptans,15,1,1931,15
5b010052-d57d-4a0f-8b0a-f82b1db891b4,carex,carex brunnea,15,1,1931,15
afab6f2c-94b6-481b-a064-7d01e970d2b1,cephalantheropsis,cephalantheropsis obcordata,15,1,1931,15
6715aaff-c9c1-42ef-bcc6-36e0b7da69c9,phlegmariurus,phlegmariurus phlegmaria,15,1,1931,15
http://n2t.net/ark:/65665/3c30e97af-f9bd-48b1-85ce-c20093fc4454,derris,derris trifoliata,15,1,1952,15
http://n2t.net/ark:/65665/38d95fd32-c944-4144-a1a4-a8cc2caff432,erythrina,erythrina fusca,15,1,1952,15
http://n2t.net/ark:/65665/35f3423f5-0b31-478a-8e8e-2b635feb219c,dendrocalamus,dendrocalamus strictus,15,1,1953,15
http://n2t.net/ark:/65665/3b06a1432-ccf4-41ca-bd9b-f685e511e271,phanera,phanera variegata,15,1,1953,15
http://n2t.net/ark:/65665/336195f7f-a41a-4ede-be45-2dcf84b391be,clerodendrum,clerodendrum infortunatum,15,1,1974,15
urn:catalog:mo:tropicos:3392167,limnocharis,limnocharis flava,15,1,1993,15
http://n2t.net/ark:/65665/34c8ee30b-0bb6-4371-9a97-2b07a1013a07,acilepis,acilepis doichangensis,16,1,1921,16
http://n2t.net/ark:/65665/3349352b3-d186-471a-ac5e-7a87c96b7eeb,ardisia,ardisia elliptica,16,1,1921,16
http://n2t.net/ark:/65665/31c360761-5cb4-424e-bbd4-866cfced623f,ardisia,ardisia elliptica,16,1,1921,16
http://n2t.net/ark:/65665/34ddac15b-d832-4a9f-9ed7-af0eb615c313,bolbitis,bolbitis appendiculata,16,1,1921,16
http://n2t.net/ark:/65665/337b5c81b-0f53-4f9e-8c1f-814986b6be11,bolbitis,bolbitis appendiculata,16,1,1921,16
http://n2t.net/ark:/65665/3101817ad-c72f-4aa8-acc2-fecf38405d2a,bridelia,bridelia stipularis,16,1,1921,16
